Ticket ID|Subject|Full_Ticket_Text|Issue Type|Assigned Team|Severity|Preprocessed_Text
213|Custom application report generating incorrect totals|The monthly expense report generated by the custom finance application is calculating incorrect subtotals. This is impacting financial closures.|Software|Application Support|High|custom application report generating incorrect totals monthly expense report generated custom finance application calculating incorrect subtotals impacting financial closures
214|MFA prompt not appearing on mobile app|When logging into the company portal, the MFA code prompt is not showing up on the authenticator mobile app. I cannot log in.|Account/Access|Security & Access|Medium|mfa prompt appearing mobile app logging company portal mfa code prompt showing authenticator mobile app cannot log
215|Long-running query holding excessive locks|A single query is holding a massive number of locks on the database for over an hour, blocking all other write operations across multiple tables.|Database|Database Ops|Critical|longrunning query holding excessive locks single query holding massive number locks database hour blocking write operations across multiple tables
216|Router configuration needs update|Need to update the configuration on the main branch office router to accommodate a new subnet for the R&D team. Requires scheduled maintenance.|Network|Networking|Medium|router configuration needs update need update configuration main branch office router accommodate new subnet rd team requires scheduled maintenance
217|Broken plastic casing on docking station|The plastic casing on my docking station is cracked near the port area, exposing the internal wiring. Needs replacement due to safety concern.|Hardware|Desktop Support|Low|broken plastic casing docking station plastic casing docking station cracked near port area exposing internal wiring needs replacement due safety concern
218|Cannot save changes in Web browser settings|When I try to change my default search engine in Edge, the change is reverted immediately. Browser settings seem to be blocked by an external process.|Software|Application Support|Low|cannot save changes web browser settings try change default search engine edge change reverted immediately browser settings seem blocked external process
219|Bulk account password expiry extension|A group of 20 service accounts all had their passwords expire simultaneously. We need to reset them and set a non-expiry flag temporarily.|Account/Access|Security & Access|High|bulk account password expiry extension group service accounts passwords expire simultaneously need reset set nonexpiry flag temporarily
220|Corrupted data during replication|Data being replicated from DB-A to DB-B is arriving corrupted, leading to application errors on the secondary site. Replication channel investigation needed.|Database|Database Ops|High|corrupted data replication data replicated dba dbb arriving corrupted leading application errors secondary site replication channel investigation needed
221|Projector not projecting correct resolution|The projector in the large training room only supports 800x600 resolution, even when the input device is set to 1080p. Needs firmware update or configuration change.|Hardware|Desktop Support|Low|projector projecting correct resolution projector large training room supports x resolution even input device set p needs firmware update configuration change
222|DHCP lease issue in main office|New devices connecting to the network are not consistently receiving IP addresses from the DHCP server. This started two hours ago.|Network|Networking|High|dhcp lease issue main office new devices connecting network consistently receiving ip addresses dhcp server started two hours ago
223|External firewall traffic shaping required|We need to implement QoS/Traffic Shaping on the external firewall to prioritize VoIP traffic over bulk file transfers during business hours.|Network|Networking|Medium|external firewall traffic shaping required need implement qostraffic shaping external firewall prioritize voip traffic bulk file transfers business hours
224|Adobe Acrobat won't save form data|When filling out a PDF form in Adobe Acrobat and clicking save, the form data is completely lost. This is affecting compliance documentation.|Software|Application Support|Medium|adobe acrobat wont save form data filling pdf form adobe acrobat clicking save form data completely lost affecting compliance documentation
225|Account suspended for unknown reason|My corporate account was suddenly suspended this morning. I was not notified of any policy violation. Need immediate reactivation.|Account/Access|Security & Access|Medium|account suspended unknown reason corporate account suddenly suspended morning notified policy violation need immediate reactivation
226|Missing secondary index causing slow reporting|A critical secondary index on the `ClientData` table was accidentally dropped, causing the daily client reporting script to take 4 hours instead of 10 minutes.|Database|Database Ops|High|missing secondary index causing slow reporting critical secondary index clientdata table accidentally dropped causing daily client reporting script take hours instead minutes
227|Desktop tower running extremely loud|The internal fans of my desktop tower are running at maximum speed and are extremely loud. I suspect a heat sink issue or failing thermal paste.|Hardware|Desktop Support|Low|desktop tower running extremely loud internal fans desktop tower running maximum speed extremely loud suspect heat sink issue failing thermal paste
228|Request for temporary high-bandwidth access|I need to download a 50GB dataset from an external partner. Requesting temporary priority bandwidth on the WAN for 2 hours to complete the transfer quickly.|Network|Networking|Low|request temporary highbandwidth access need download gb dataset external partner requesting temporary priority bandwidth wan hours complete transfer quickly
229|Office 365 licensing issue for new user|New hire J. Johnson is unable to access any Office 365 applications (Word, Excel) and receives a licensing error. License needs to be provisioned.|Software|Application Support|Low|office licensing issue new user new hire j johnson unable access office applications word excel receives licensing error license needs provisioned
230|Need to remove retired servers from monitoring|The following three servers (SRV-07, SRV-08, SRV-09) have been decommissioned. Please remove them from all network and database monitoring systems.|Database|Database Ops|Low|need remove retired servers monitoring following three servers srv srv srv decommissioned please remove network database monitoring systems
231|Laptop speaker crackling noise|The built-in speakers on my laptop emit a loud, distorted crackling noise whenever audio is played. Headphone output is fine.|Hardware|Desktop Support|Medium|laptop speaker crackling noise builtin speakers laptop emit loud distorted crackling noise whenever audio played headphone output fine
232|Access to retired application still active|I still have active login credentials and access to the deprecated 'Billing_V1' application, which should have been revoked last month. Security concern.|Account/Access|Security & Access|Medium|access retired application still active still active login credentials access deprecated billingv application revoked last month security concern
233|Network performance degradation after upgrade|After upgrading the core switch firmware last night, overall network performance is noticeably slower. Rollback or configuration review is needed.|Network|Networking|High|network performance degradation upgrade upgrading core switch firmware last night overall network performance noticeably slower rollback configuration review needed
234|Data warehouse ETL failure|The main data warehouse ETL job failed last night. The data is now stale and all BI reporting for today is inaccurate. High priority fix needed.|Database|Database Ops|High|data warehouse etl failure main data warehouse etl job failed last night data stale bi reporting today inaccurate high priority fix needed
235|Skype for Business permanently offline|My Skype for Business client is permanently stuck in the 'Connecting' state and cannot sign in. I need to be able to contact internal users.|Software|Application Support|Low|skype business permanently offline skype business client permanently stuck connecting state cannot sign need able contact internal users
236|Malfunctioning web camera focus|My external USB web camera is unable to focus on my face. The image is constantly blurry, even in good lighting.|Hardware|Desktop Support|Low|malfunctioning web camera focus external usb web camera unable focus face image constantly blurry even good lighting
237|Request for manager approval bypass on expense software|The expense reporting software is requiring manager approval for a small, pre-approved item. Can this specific entry be force-approved by the admin?|Account/Access|Security & Access|Low|request manager approval bypass expense software expense reporting software requiring manager approval small preapproved item specific entry forceapproved admin
238|IP address conflict detected|A network monitoring alert shows an IP address conflict between my workstation and an unknown device. Both are losing connectivity intermittently.|Network|Networking|Medium|ip address conflict detected network monitoring alert shows ip address conflict workstation unknown device losing connectivity intermittently
239|Stored procedure timeout issue|A stored procedure called by the application is timing out under heavy load, causing the application to return an error to the user. Needs optimization.|Database|Database Ops|Medium|stored procedure timeout issue stored procedure called application timing heavy load causing application return error user needs optimization
240|Windows Defender blocking necessary file|Windows Defender quarantined a file that is critical for our custom application to run. Need to whitelist the file path for all users.|Software|Application Support|Medium|windows defender blocking necessary file windows defender quarantined file critical custom application run need whitelist file path users
241|Missing power cable for monitor|I received a new monitor but the box was missing the power cable. I cannot plug it in.|Hardware|Desktop Support|Low|missing power cable monitor received new monitor box missing power cable cannot plug
242|Account deletion request for privacy compliance|User L. Johnson has requested their account and all associated personal data be permanently deleted in accordance with data privacy regulations.|Account/Access|Security & Access|Medium|account deletion request privacy compliance user l johnson requested account associated personal data permanently deleted accordance data privacy regulations
243|External link failure to vendor site|We cannot establish a stable connection to our main external manufacturing partner's portal. Network traces show a point-to-point link failure.|Network|Networking|High|external link failure vendor site cannot establish stable connection main external manufacturing partners portal network traces show pointtopoint link failure
244|Database server showing high I/O wait times|The database server is showing extremely high I/O wait times, indicating a bottleneck at the storage level. All queries are slow.|Database|Database Ops|Critical|database server showing high io wait times database server showing extremely high io wait times indicating bottleneck storage level queries slow
245|New software deployment stuck on 50%|The latest software deployment package for the 'Time Tracking App' is stuck at 50% installation on 50+ user workstations. Need to troubleshoot deployment failure.|Software|Application Support|Medium|new software deployment stuck latest software deployment package time tracking app stuck installation user workstations need troubleshoot deployment failure
246|Faulty CPU fan on server|The CPU fan on the main authentication server is failing and not spinning properly, leading to temperature warnings. Urgent hardware replacement needed.|Hardware|Desktop Support|Critical|faulty cpu fan server cpu fan main authentication server failing spinning properly leading temperature warnings urgent hardware replacement needed
247|Request to change email display name|I need my email display name changed from 'Chris A.' to 'Christopher Alan' for professional reasons.|Account/Access|Security & Access|Low|request change email display name need email display name changed chris christopher alan professional reasons
248|Sudden packet loss in executive office|Users in the executive office suite are reporting 40%+ packet loss to the internal network. Possible faulty switch or cable.|Network|Networking|High|sudden packet loss executive office users executive office suite reporting packet loss internal network possible faulty switch cable
249|Database server out of disk space|The main drive on the database server is completely out of disk space. All logs and write operations have failed. Critical outage.|Database|Database Ops|Critical|database server disk space main drive database server completely disk space logs write operations failed critical outage
250|Web browser default homepage keeps reverting|My default homepage in Firefox keeps reverting to a search engine I did not set, even after manually changing it in settings. Possible malware or GPO conflict.|Software|Application Support|Medium|web browser default homepage keeps reverting default homepage firefox keeps reverting search engine set even manually changing settings possible malware gpo conflict
251|Broken power button on monitor|The physical power button on my monitor is stuck in the 'on' position. I cannot manually turn off the screen.|Hardware|Desktop Support|Low|broken power button monitor physical power button monitor stuck position cannot manually turn screen
252|Need to provision a new service account|I need a new non-expiring service account, `SVC_ReportGen`, to run nightly report generation jobs with appropriate database access.|Account/Access|Security & Access|Medium|need provision new service account need new nonexpiring service account svcreportgen run nightly report generation jobs appropriate database access
253|High latency to internal file server|Accessing shared files on the internal file server is extremely slow, taking 10+ seconds to open a small document.|Network|Networking|Medium|high latency internal file server accessing shared files internal file server extremely slow taking seconds open small document
254|Missing index on primary key|A primary key constraint exists on the table, but the associated clustered index is missing, leading to inefficient lookups. Need to rebuild the PK index.|Database|Database Ops|High|missing index primary key primary key constraint exists table associated clustered index missing leading inefficient lookups need rebuild pk index
255|Slack desktop app unable to connect to voice calls|When starting a Huddle or voice call in Slack, the connection fails instantly. Text chat works fine.|Software|Application Support|Low|slack desktop app unable connect voice calls starting huddle voice call slack connection fails instantly text chat works fine
256|Damaged docking station power plug|The end of the docking station's power cord that plugs into the wall is frayed and exposed. Safety hazard, needs urgent replacement.|Hardware|Desktop Support|High|damaged docking station power plug end docking stations power cord plugs wall frayed exposed safety hazard needs urgent replacement
257|Need MFA temporary exemption|I am currently traveling overseas and my authenticator app is not working due to time zone issues. I need a temporary MFA exemption for 2 days.|Account/Access|Security & Access|High|need mfa temporary exemption currently traveling overseas authenticator app working due time zone issues need temporary mfa exemption days
258|Core network uplink link flapping|The main fiber uplink connecting the company to the ISP is constantly going down and coming back up. Major service instability.|Network|Networking|Critical|core network uplink link flapping main fiber uplink connecting company isp constantly going coming back major service instability
259|Database backup failing due to timeout|The database backup process for the largest database is consistently timing out before completion. Backup window needs to be extended or performance optimized.|Database|Database Ops|Medium|database backup failing due timeout database backup process largest database consistently timing completion backup window needs extended performance optimized
260|Visual Studio unable to connect to TFS|My Visual Studio IDE cannot connect to the Team Foundation Server (TFS) repository. Getting an authentication failure error.|Software|Application Support|Medium|visual studio unable connect tfs visual studio ide cannot connect team foundation server tfs repository getting authentication failure error
261|Desktop PC won't recognize boot drive|My desktop powers on, but the BIOS is reporting no bootable device found. Likely a failed SATA drive or corrupted MBR.|Hardware|Desktop Support|High|desktop pc wont recognize boot drive desktop powers bios reporting bootable device found likely failed sata drive corrupted mbr
262|Request to unlock user account for specific app|User M. Clark is locked out of the finance application (QuickBooks) after 3 failed login attempts. Please unlock the application-specific account.|Account/Access|Security & Access|Low|request unlock user account specific app user clark locked finance application quickbooks failed login attempts please unlock applicationspecific account
263|Unusual broadcast storm detected|Network monitoring is alerting on an extremely high volume of broadcast traffic, indicating a loop or misbehaving device on the network.|Network|Networking|Critical|unusual broadcast storm detected network monitoring alerting extremely high volume broadcast traffic indicating loop misbehaving device network
264|Database mirroring session failed|The database mirroring session between the two main production servers has failed and is in a disconnected state. High availability is compromised.|Database|Database Ops|High|database mirroring session failed database mirroring session two main production servers failed disconnected state high availability compromised
265|New version of software introducing bug|The latest update to our custom sales tracking software introduced a bug that prevents users from editing contact phone numbers.|Software|Application Support|High|new version software introducing bug latest update custom sales tracking software introduced bug prevents users editing contact phone numbers
266|Failing power brick for laptop|The external power brick for my laptop is no longer reliably providing power. The light on the brick flickers when plugged in.|Hardware|Desktop Support|Medium|failing power brick laptop external power brick laptop longer reliably providing power light brick flickers plugged
267|Need to audit security group membership|Requesting a full audit of all users currently members of the 'Admin_Core_Services' security group for a quarterly compliance review.|Account/Access|Security & Access|Medium|need audit security group membership requesting full audit users currently members admincoreservices security group quarterly compliance review
268|Intermittent BGP session failure|The BGP session with our network provider fails briefly every few hours, causing traffic to reroute via the slower secondary link.|Network|Networking|High|intermittent bgp session failure bgp session network provider fails briefly every hours causing traffic reroute via slower secondary link
269|DB connection pool timeout during deployment|During a new application deployment, the database connection pool is consistently timing out due to excessive database load from the deployment scripts.|Database|Database Ops|Medium|db connection pool timeout deployment new application deployment database connection pool consistently timing due excessive database load deployment scripts
270|PDF file corrupted after editing|After making minor text changes in the default Windows PDF editor and saving, the file is now unreadable by all other applications.|Software|Application Support|Low|pdf file corrupted editing making minor text changes default windows pdf editor saving file unreadable applications
271|Monitor screen displaying wrong colors|My primary monitor is displaying colors with a heavy green tint. I have checked the graphics settings and cables with no change.|Hardware|Desktop Support|Low|monitor screen displaying wrong colors primary monitor displaying colors heavy green tint checked graphics settings cables change
272|Request for temporary access to a folder|I need read-only access to the `Legacy_Archive_2019` folder for three days to pull historical data for a financial report.|Account/Access|Security & Access|Low|request temporary access folder need readonly access legacyarchive folder three days pull historical data financial report
273|Firewall blocking external API calls|A new security rule is blocking necessary outbound API calls to a critical payment processing service (Stripe). Urgent firewall rule review needed.|Network|Networking|Critical|firewall blocking external api calls new security rule blocking necessary outbound api calls critical payment processing service stripe urgent firewall rule review needed
274|Corruption detected in primary database files|The database engine logs are reporting corruption errors on the primary data file (MDF). Immediate recovery and data integrity checks are required.|Database|Database Ops|Critical|corruption detected primary database files database engine logs reporting corruption errors primary data file mdf immediate recovery data integrity checks required
275|Printing not working for specific document type|I can print all emails and web pages, but I cannot print documents created in the proprietary 'Xylo' format. The printer queue shows an error.|Software|Application Support|Medium|printing working specific document type print emails web pages cannot print documents created proprietary xylo format printer queue shows error
276|Mouse laser stopped working|My optical mouse's red laser light is completely off, and the mouse is unresponsive. Tried changing the battery and using a different USB port.|Hardware|Desktop Support|Low|mouse laser stopped working optical mouses red laser light completely mouse unresponsive tried changing battery using different usb port
277|User requires access to specific shared mailbox|User P. Jones needs full access permissions to the 'Returns Processing' shared mailbox to manage customer returns.|Account/Access|Security & Access|Low|user requires access specific shared mailbox user p jones needs full access permissions returns processing shared mailbox manage customer returns
278|Wireless access point failure on 3rd floor|One of the main wireless access points on the 3rd floor is offline and not broadcasting the Wi-Fi signal. Users are reporting no connectivity.|Network|Networking|High|wireless access point failure rd floor one main wireless access points rd floor offline broadcasting wifi signal users reporting connectivity
279|Disk space usage spike on database server|The database server's available disk space dropped from 50% to 5% in less than an hour. A large log file or dump must have been generated.|Database|Database Ops|High|disk space usage spike database server database servers available disk space dropped less hour large log file dump must generated
280|Windows Media Player fails to open video files|Windows Media Player gives a codec error when attempting to open standard MP4 video files. This happened after the last system update.|Software|Application Support|Low|windows media player fails open video files windows media player gives codec error attempting open standard mp video files happened last system update
281|Faulty projector HDMI port|The HDMI port on the conference room projector is physically damaged and does not register a connection when a cable is inserted.|Hardware|Desktop Support|Medium|faulty projector hdmi port hdmi port conference room projector physically damaged register connection cable inserted
282|Need to provision a new user in three systems|New hire A. Adams needs accounts created and provisioned in Active Directory, SalesForce, and the internal Wiki system.|Account/Access|Security & Access|Low|need provision new user three systems new hire adams needs accounts created provisioned active directory salesforce internal wiki system
283|Internal network speeds drastically reduced|All file transfers and network operations are running at extremely slow speeds (10Mbps) compared to the expected gigabit speed. Network congestion suspected.|Network|Networking|High|internal network speeds drastically reduced file transfers network operations running extremely slow speeds mbps compared expected gigabit speed network congestion suspected
284|Database schema rollback failed|Attempted to roll back a recent schema change in the staging environment, but the script failed mid-way, leaving the schema in an inconsistent state.|Database|Database Ops|High|database schema rollback failed attempted roll back recent schema change staging environment script failed midway leaving schema inconsistent state
285|VPN client not connecting on new laptop|I received a new laptop, and the VPN client software will not connect. It gets stuck on 'Initializing connection...' and eventually times out.|Software|Application Support|Medium|vpn client connecting new laptop received new laptop vpn client software connect gets stuck initializing connection eventually times
286|Missing keyboard keycap|The 'T' keycap on my desktop keyboard popped off and is lost. I need a replacement keycap or a new keyboard.|Hardware|Desktop Support|Low|missing keyboard keycap keycap desktop keyboard popped lost need replacement keycap new keyboard
287|Security audit triggered for excessive login attempts|My corporate account has been flagged by the security system for an unusually high number of failed login attempts from an unknown geographic location.|Account/Access|Security & Access|High|security audit triggered excessive login attempts corporate account flagged security system unusually high number failed login attempts unknown geographic location
288|Core switch fan failure|The main cooling fan on the core network switch is no longer working. The device is running hot and may trigger an automatic shutdown soon.|Network|Networking|Critical|core switch fan failure main cooling fan core network switch longer working device running hot may trigger automatic shutdown soon
289|Read-only user can modify data|A user provisioned as 'read-only' on the main customer table was somehow able to successfully execute an UPDATE statement. Immediate permission check needed.|Database|Database Ops|Critical|readonly user modify data user provisioned readonly main customer table somehow able successfully execute update statement immediate permission check needed
290|QuickBooks application freezing during payroll|The QuickBooks desktop application freezes and becomes unresponsive every time the user attempts to run the weekly payroll process.|Software|Application Support|High|quickbooks application freezing payroll quickbooks desktop application freezes becomes unresponsive every time user attempts run weekly payroll process
291|Monitor connection dropping randomly|My main monitor disconnects and reconnects rapidly several times an hour. Suspect a loose cable or a faulty display port on the graphics card.|Hardware|Desktop Support|Medium|monitor connection dropping randomly main monitor disconnects reconnects rapidly several times hour suspect loose cable faulty display port graphics card
292|Request to deactivate unused service account|The `SVC_OldApp` service account has not been used for 6 months. Please deactivate it for security best practice.|Account/Access|Security & Access|Low|request deactivate unused service account svcoldapp service account used months please deactivate security best practice
293|WAN link performance plummeting after hours|Every day after 7 PM, the WAN link utilization drops significantly, but the network performance gets worse, not better. Possible asymmetric routing issue.|Network|Networking|Medium|wan link performance plummeting hours every day pm wan link utilization drops significantly network performance gets worse better possible asymmetric routing issue
294|Database performance bottleneck in reporting period|The database becomes virtually unusable during the monthly reporting window (last 3 days of the month). Need performance tuning specifically for the reporting queries.|Database|Database Ops|Medium|database performance bottleneck reporting period database becomes virtually unusable monthly reporting window last days month need performance tuning specifically reporting queries
295|Zoom client microphone muted by default|Every time I join a Zoom meeting, my microphone is muted by the application, even if I select 'unmute' in the settings before joining.|Software|Application Support|Low|zoom client microphone muted default every time join zoom meeting microphone muted application even select unmute settings joining
296|Laptop touchpad unresponsive|The touchpad on my laptop suddenly stopped working entirely. The external mouse is working fine. I have checked for a hardware disable key.|Hardware|Desktop Support|Low|laptop touchpad unresponsive touchpad laptop suddenly stopped working entirely external mouse working fine checked hardware disable key
297|Need temporary access to production database|Requesting read-only access to the production database for 4 hours to troubleshoot a major application bug. Needs VP approval.|Account/Access|Security & Access|High|need temporary access production database requesting readonly access production database hours troubleshoot major application bug needs vp approval
298|Multiple users reporting 'Destination Host Unreachable'|Five users in the same area are getting 'Destination Host Unreachable' when trying to access a specific internal server. Possible local switch failure.|Network|Networking|High|multiple users reporting destination host unreachable five users area getting destination host unreachable trying access specific internal server possible local switch failure
299|Database transaction log filling up rapidly|The transaction log file for the production database is filling up so quickly that it's causing the log drive to become full every few hours.|Database|Database Ops|Critical|database transaction log filling rapidly transaction log file production database filling quickly causing log drive become full every hours
300|Email archiving not working for user|The automatic 90-day email archiving policy is not running for user S. Miller. Her mailbox size is now critically large and affecting Outlook performance.|Software|Application Support|Medium|email archiving working user automatic day email archiving policy running user miller mailbox size critically large affecting outlook performance
301|Projector bulb died in executive boardroom|The projector bulb in the executive boardroom went out during a critical presentation. Urgent replacement is needed.|Hardware|Desktop Support|Critical|projector bulb died executive boardroom projector bulb executive boardroom went critical presentation urgent replacement needed
302|Request to update user's security questions|User A. Johnson is unable to use the self-service password reset because he forgot the answers to his security questions. Need manual reset of questions.|Account/Access|Security & Access|Low|request update users security questions user johnson unable use selfservice password reset forgot answers security questions need manual reset questions
303|Switch VLAN configuration error|A core switch was recently configured with incorrect VLAN trunking settings, causing inter-VLAN routing to fail for two departments.|Network|Networking|High|switch vlan configuration error core switch recently configured incorrect vlan trunking settings causing intervlan routing fail two departments
304|Missing stored procedure after deployment|A critical stored procedure required by the invoicing application is missing from the production database after the last deployment. Application is down.|Database|Database Ops|Critical|missing stored procedure deployment critical stored procedure required invoicing application missing production database last deployment application
305|Power Automate flow failing authentication|A critical Microsoft Power Automate flow that manages HR data is failing every hour with an authentication error to the SharePoint source.|Software|Application Support|Medium|power automate flow failing authentication critical microsoft power automate flow manages hr data failing every hour authentication error sharepoint source
306|Faulty monitor power adapter|The power adapter for my external monitor has stopped working. I've tried a different power outlet with no success.|Hardware|Desktop Support|Low|faulty monitor power adapter power adapter external monitor stopped working ive tried different power outlet success
307|Need permission to access finance shared folder|I need read-only access to the `Finance_2023_Records` shared folder for end-of-year auditing. My current permissions are insufficient.|Account/Access|Security & Access|Low|need permission access finance shared folder need readonly access financerecords shared folder endofyear auditing current permissions insufficient
308|High network jitter on VoIP VLAN|The network monitoring tool is reporting high jitter (over 50ms) on the dedicated VoIP VLAN, leading to poor voice quality.|Network|Networking|Medium|high network jitter voip vlan network monitoring tool reporting high jitter ms dedicated voip vlan leading poor voice quality
309|Database corruption in development environment|We've detected data corruption in the Development database. It needs to be restored from a clean backup of the Production database.|Database|Database Ops|Medium|database corruption development environment weve detected data corruption development database needs restored clean backup production database
310|Salesforce mobile app crashing on startup|The Salesforce mobile application crashes immediately after launching on all iOS devices. Android devices are unaffected.|Software|Application Support|High|salesforce mobile app crashing startup salesforce mobile application crashes immediately launching ios devices android devices unaffected
311|Broken headphone jack on laptop|The physical headphone jack on my laptop is damaged, and audio output is distorted or cuts out when headphones are plugged in.|Hardware|Desktop Support|Medium|broken headphone jack laptop physical headphone jack laptop damaged audio output distorted cuts headphones plugged
312|Request for group email creation|Need to create a new distribution list/group email address: `project-gamma-team@company.com` and add 10 members to it.|Account/Access|Security & Access|Low|request group email creation need create new distribution listgroup email address projectgammateamcompanycom add members
313|Unscheduled link failure on secondary WAN|The secondary WAN link to the disaster recovery site went down without warning. Troubleshooting shows a fiber issue on the ISP side.|Network|Networking|High|unscheduled link failure secondary wan secondary wan link disaster recovery site went without warning troubleshooting shows fiber issue isp side
314|Slow reporting due to missing view optimization|A crucial database view used for daily reporting is performing extremely poorly. Needs to be reviewed for optimization or rewritten as a materialized view.|Database|Database Ops|Medium|slow reporting due missing view optimization crucial database view used daily reporting performing extremely poorly needs reviewed optimization rewritten materialized view
315|Microsoft Teams showing old user status|Microsoft Teams is incorrectly showing a user as 'Away' or 'Offline' when they are actively online and present. Status refresh is stuck.|Software|Application Support|Low|microsoft teams showing old user status microsoft teams incorrectly showing user away offline actively online present status refresh stuck
316|Ergonomic mouse not working with new drivers|My ergonomic mouse's extra buttons stopped functioning after a recent driver update on my Windows 11 machine.|Hardware|Desktop Support|Low|ergonomic mouse working new drivers ergonomic mouses extra buttons stopped functioning recent driver update windows machine
317|Expired account reactivation|User J. Doe's account expired due to an administrative oversight. Please reactivate the account and verify all permissions are intact.|Account/Access|Security & Access|Medium|expired account reactivation user j account expired due administrative oversight please reactivate account verify permissions intact
318|Intermittent connectivity in data center racks|Two specific racks in Data Center 1 are experiencing random, brief connectivity drops. Suspect power issue or failing top-of-rack switch.|Network|Networking|High|intermittent connectivity data center racks two specific racks data center experiencing random brief connectivity drops suspect power issue failing topofrack switch
319|High number of database write conflicts|The application is reporting a high volume of write conflict errors, suggesting issues with concurrency control or transaction isolation levels.|Database|Database Ops|High|high number database write conflicts application reporting high volume write conflict errors suggesting issues concurrency control transaction isolation levels
320|Chrome browser cannot access internal tools|Google Chrome is unable to load any internal URLs (e.g., wiki, internal dashboards). Firefox and Edge work fine. Possible proxy or DNS setting in Chrome.|Software|Application Support|Medium|chrome browser cannot access internal tools google chrome unable load internal urls eg wiki internal dashboards firefox edge work fine possible proxy dns setting chrome
321|Server rack door sensor faulty|The physical door sensor on Server Rack C is reporting the door is open when it is securely closed. False alarms are flooding the monitoring system.|Hardware|Desktop Support|Medium|server rack door sensor faulty physical door sensor server rack c reporting door open securely closed false alarms flooding monitoring system
322|Bulk MFA device enrollment|Need to enroll 50 new mobile devices for MFA for a large group of new hires starting next week. Need to schedule mass enrollment session.|Account/Access|Security & Access|Low|bulk mfa device enrollment need enroll new mobile devices mfa large group new hires starting next week need schedule mass enrollment session
323|Unusual inbound traffic volume on specific port|Network security is alerting on an extremely high volume of inbound traffic on a non-standard port (TCP 4567). Potential port scan or targeted attack.|Network|Networking|Critical|unusual inbound traffic volume specific port network security alerting extremely high volume inbound traffic nonstandard port tcp potential port scan targeted attack
324|Database server maintenance failed to start|The automated monthly database maintenance job (index optimization, statistics update) failed to start on all servers last night.|Database|Database Ops|Medium|database server maintenance failed start automated monthly database maintenance job index optimization statistics update failed start servers last night
325|Custom sales application report export failing|When trying to export a large report from the custom sales application to PDF, the process fails with a generic error message. Smaller reports work.|Software|Application Support|Medium|custom sales application report export failing trying export large report custom sales application pdf process fails generic error message smaller reports work
326|Desktop PC overheating and shutting down|My desktop PC is randomly shutting down without warning. Logs show a critical temperature warning before shutdown. Likely a cooling issue.|Hardware|Desktop Support|High|desktop pc overheating shutting desktop pc randomly shutting without warning logs show critical temperature warning shutdown likely cooling issue
327|Need to change service account password|The password for the `SVC_APICall_Prod` service account needs to be rotated immediately for security policy compliance. Affected applications need to be updated.|Account/Access|Security & Access|High|need change service account password password svcapicallprod service account needs rotated immediately security policy compliance affected applications need updated
328|Loopback interface down on router|The loopback interface on the main distribution router is showing as administratively down, affecting several critical routing protocols.|Network|Networking|Critical|loopback interface router loopback interface main distribution router showing administratively affecting several critical routing protocols
329|Database server failover latency too high|Testing showed that failover from the primary to the secondary database cluster takes over 5 minutes. This must be reduced for the RPO goal.|Database|Database Ops|High|database server failover latency high testing showed failover primary secondary database cluster takes minutes must reduced rpo goal
330|External user cannot access SharePoint folder|An external partner user is unable to access a specific SharePoint folder despite being granted 'Edit' permissions. Access denied error persists.|Software|Application Support|Low|external user cannot access sharepoint folder external partner user unable access specific sharepoint folder despite granted edit permissions access denied error persists
331|Cracked camera lens on laptop webcam|The physical lens cover on my integrated laptop webcam is cracked, causing the image to be distorted. Need to replace the screen assembly.|Hardware|Desktop Support|Medium|cracked camera lens laptop webcam physical lens cover integrated laptop webcam cracked causing image distorted need replace screen assembly
332|Need to revoke global administrator access|User T. Miller was mistakenly granted Global Administrator rights in Azure AD last week. This access needs to be immediately revoked and logged.|Account/Access|Security & Access|Critical|need revoke global administrator access user miller mistakenly granted global administrator rights azure ad last week access needs immediately revoked logged
333|DNS server unresponsive|The primary internal DNS server (DNS-01) is unresponsive to all query requests. Users cannot resolve internal hostnames or access resources.|Network|Networking|Critical|dns server unresponsive primary internal dns server dns unresponsive query requests users cannot resolve internal hostnames access resources
334|Data loss reported on shared network drive|Multiple users are reporting that files saved yesterday on the `Project_X` shared network drive are now missing. Need immediate investigation for data loss.|Database|Database Ops|Critical|data loss reported shared network drive multiple users reporting files saved yesterday projectx shared network drive missing need immediate investigation data loss
335|Adobe Illustrator license suddenly expired|My Adobe Illustrator license unexpectedly expired this morning, and the application is now in trial mode. I am a subscribed user.|Software|Application Support|Low|adobe illustrator license suddenly expired adobe illustrator license unexpectedly expired morning application trial mode subscribed user
336|Faulty mechanical keyboard switch|One of the key switches on my mechanical keyboard is sticking and repeatedly typing the letter 'G' until I forcefully press it again.|Hardware|Desktop Support|Low|faulty mechanical keyboard switch one key switches mechanical keyboard sticking repeatedly typing letter g forcefully press
337|MFA application migration failed|I got a new phone and attempted to migrate my MFA tokens, but the process failed, leaving me with no tokens on the new device.|Account/Access|Security & Access|Medium|mfa application migration failed got new phone attempted migrate mfa tokens process failed leaving tokens new device
338|High number of dropped packets on switch|Switch SW-A02 is reporting an abnormally high number of dropped packets on all ports, suggesting a possible hardware defect on the switch itself.|Network|Networking|Medium|high number dropped packets switch switch swa reporting abnormally high number dropped packets ports suggesting possible hardware defect switch
